,,січ.-19,,,,,,,,,,,,
"Month
Місяць",Id_airport,Airport name (Назва аеропорту),Passengers(Пасажиропотік),"Air Transport
Movements( Рейси)",Cancelled movements (Скасовані рейси),"Total Air Transport
Movements Excluding
Cancelled(Загальний рух повітряного транспорту, крім скасованих)",International Terminal Passenger Traffic(Пасажиропотік міжнародних терміналів),Domestic Terminal Passenger Traffic(Пасажиропотік внутрішніх терміналів),Між_план,Між_чартер,Внутр_план,Внутр_чартер,Дохід,Прибуток
August,6,Edinburgh,14 755 000,12 056,69,11 987,1 009 098,470 164,981 218,27 880,470 068,96,"£18 978 000,0","£9 112 000,0"
August,7,Birmingham,12 713 000,10 346,37,10 309,1 280 384,126 333,1 080 959,199 425,126 290,43,"£14 522 000,0","£3 322 000,0"
August,8,Bristol,8 918 000,6 403,43,6 360,885 518,123 980,778 583,106 935,123 739,241,"£9 538 000,0","£2 641 000,0"
August,9,Glasgow,9 082 000,7 696,66,7 630,572 704,336 744,512 085,60 619,336 706,38,"£15 673 000,0","£3 802 000,0"
August,10,Belfast International,6 439 000,4 392,1,4 391,308 217,331 116,254 485,53 732,331 078,38,"£5 976,0","£2 801,0"
August,11,Newcastle,5 254 000,4 112,21,4 091,499 638,103 178,499 374,264,102 950,228,"£2 902 000,0","£833 000,0"
August,12,Liverpool,5 066 000,3 300,0,3 300,431 987,85 820,431 335,652,85 284,536,"£3 679 000,0","£1 376 000,0"
August,13,East Midlands International,4 793 000,5 767,27,5 740,570 300,33 230,496 892,73 408,33 043,187,"£3 696 000,0","£768 000,0"
August,14,Aberdeen,2 951 000,6 673,99,6 574,130 168,137 470,79 669,50 499,126 599,10 871,"£4 796 000,0","£1 589 000,0"
August,15,Belfast City( George best),2 506 000,3 206,19,3 187,21 656,230 668,21 648,8,230 660,8,"£1 890 000,0","£790 000,0"
August,16,Southerd,1 841 000,2 115,8,2 107,222 979,21 603,222 979,0,21 603,0,"£2 110 000,0","£621 000,0"
August,17,Southampton,1 869 000,3 156,80,3 076,75 933,113 799,71 875,4 058,113 629,170,"£2 917 000,0","£1 422 000,0"
August,18,Cardiff Wales,1 660 000,1 812,7,1 805,191 058,25 472,91 814,99 244,24 959,513,"£1 933 000,0","£6 780,0"
August,19,Doncaster Sheffield,1 336 000,1 186,8,1 178,168 873,11 189,98 423,70 450,11 189,0,"£1 160 000,0","£107 000,0"
